"","player_name","total_starts","last_Tm","last_Pos","sum_PTS_min","sum_FGA_min","sum_FTA_min","sum_AST_min","sum_ORB_min","TSp","player_id","salary"
"50","Enes Kanter",62,"TOT","C",1.69,1.25,0.37,0.21,0.48,63.5,302,19264603
"51","Tyler Johnson",44,"TOT","PG",1.18,1.01,0.26,0.34,0.08,55.3,283,19245370
"52","John Wall",32,"WAS","PG",0.6,0.5,0.16,0.25,0.01,56.1,541,19169800
"53","George Hill",26,"TOT","PG",1.09,0.88,0.19,0.31,0.09,59.1,246,1.9e+07
"54","Jeff Teague",41,"MIN","PG",0.4,0.33,0.12,0.27,0.01,56.1,507,1.9e+07
"55","Klay Thompson",78,"GSW","SG",0.63,0.53,0.06,0.07,0.01,58,517,18988725
"56","Goran Dragic",22,"MIA","PG",0.5,0.44,0.1,0.18,0.02,54.1,156,18109175
"57","Kent Bazemore",35,"ATL","SG",0.47,0.42,0.11,0.09,0.02,52.9,42,18089888
"58","Evan Turner",2,"POR","PG",0.31,0.28,0.07,0.18,0.02,52.5,526,17868853
"59","Draymond Green",66,"GSW","PF",0.24,0.2,0.04,0.22,0.03,57.5,214,17469565
"60","Tristan Thompson",40,"CLE","C",0.39,0.32,0.09,0.07,0.14,57.4,518,17469565
"61","Tim Hardaway",126,"TOT","SG",1.68,1.45,0.37,0.22,0.05,54.9,223,17325000
"62","Pau Gasol",12,"TOT","C",0.81,0.73,0.29,0.36,0.13,51,195,17133285
"63","Reggie Jackson",82,"DET","PG",0.55,0.46,0.1,0.15,0.02,57.1,272,17043478
"64","Bismack Biyombo",32,"CHO","C",0.3,0.2,0.12,0.04,0.1,66.3,56,1.7e+07
"65","Evan Fournier",81,"ORL","SG",0.48,0.42,0.07,0.12,0.01,55.1,182,1.7e+07
"66","Derrick Favors",70,"UTA","C",0.51,0.35,0.13,0.05,0.12,67.4,175,16900000
"67","Luol Deng",2,"MIN","SF",0.4,0.3,0.09,0.05,0.05,62.5,144,16747954
"68","Jonas Valanciunas",54,"TOT","C",2.1,1.48,0.51,0.19,0.29,65.9,530,16539326
"69","Gary Harris",48,"DEN","SG",0.45,0.39,0.09,0.08,0.03,54.9,227,16517857
"70","Andre Iguodala",13,"GSW","SF",0.25,0.19,0.04,0.14,0.03,62.9,264,1.6e+07
"71","Ian Mahinmi",6,"WAS","C",0.28,0.21,0.12,0.05,0.1,59.2,347,1.6e+07
"72","Clint Capela",67,"HOU","C",0.5,0.33,0.12,0.04,0.13,70.1,96,15793104
"73","DeMarre Carroll",8,"BRK","PF",0.44,0.34,0.14,0.05,0.04,59.3,97,15400000
